Product Name,Product URL,Product Price(₹),Product Rating,Product Number of Reviews
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTUzMTU0MjgxNDg0MjQ0OjE2Nzk0ODE4NTc6c3BfYXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481857%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"2,300",4.2,(12)
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTUzMTU0MjgxNDg0MjQ0OjE2Nzk0ODE4NTc6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FPOLICE-ltrs-cms-backpack-PTO020008_1_black%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481857%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,700",4.1,(187)
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-3,"1,199",4.0,"(52,315)"
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-4,649,4.1,"(3,779)"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-5,565,4.3,"(9,819)"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-6,499,3.8,(568)
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-7,949,3.9,"(6,310)"
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-8,339,4.3,"(30,134)"
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-9,214,3.7,"(6,059)"
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-10,699,3.7,(116)
EUME Propine 22Ltrs Massager Laptop Backpack with Built-in Massager Technology | Fit Upto 15.6 Inch Laptop for Office & Travel | Black Color,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTUzMTU0MjgxNDg0MjQ0OjE2Nzk0ODE4NTc6c3BfbXRmOjIwMTIxOTcyMjYwNTk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB085GDV195%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481857%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"3,499",4.1,(45)
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTUzMTU0MjgxNDg0MjQ0OjE2Nzk0ODE4NTc6c3BfbXRmOjIwMDkxMDg5MjQ2Nzk4OjowOjo&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481857%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,849,3.9,"(2,344)"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-13,299,4.0,"(18,019)"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-14,849,3.9,"(2,344)"
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-15,689,3.9,"(15,255)"
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679481857&sprefix=ba%2Caps%2C283&sr=8-16,473,4.3,"(12,346)"
