Product Name,Description,Product Description,ASIN,Manufacturer
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","Care Instructions: Wipe with Damp Cloth. Handcrafted with care and made up of premium quality robust material. Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side. Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps. GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty. ","Introducing the ultimate ""Matrix"" backpack for the modern, on-the-go professional. With a dedicated anti-theft laptop compartment (15.6'), you can rest easy knowing your valuable device is secure. The backpack also features a tablet sleeve, multiple organizers, and a quick-access pocket for all your essentials. Made with premium, sustainable materials, this backpack is not only functional but also environmentally friendly. Whether you're heading to work or traveling the world, this backpack has got you covered.", B0BSH4H4DB, Acefour Accessories Pvt. Ltd.
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","Care Instructions: Wipe with Damp Cloth. Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers. ",, B0B81YTTWS, Acefour Accessories Pvt. Ltd.
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No. Outer Material: Polyester, Color: Black. Water Resistance: Water resistant , not Waterproof. Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters. Number of Wheels: 0, Number of compartments: 3. Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of. Mesh pockets on both sides to accommodate your sipper or bottle and umbrella. Mesh Padding on back & shoulder strap to provide comfort & better back support. ",, B07CJCGM1M , Samsonite 
Skybags Brat Black 46 Cms Casual Backpack,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,. ","Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack", B08Z1HHHTD, VIP Industries Ltd
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.. Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.. Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.. Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks. 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.. ",, B084JGJ8PF ," Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 "
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),Material: Water Resistant Light-Weight Polyester. Compartments: 2 with padding; Laptop Size: 15.6 inch and below. Dimensions: LxWxH - 12.5 x 7.5 x 19 inches. Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders. Closure Type: Zipper. ,, B09TPX22NF, ADISA
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.. Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.. Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.. External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.. Manufacturer warranty - 2 years. ",This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables., B097RJ22Q3, Bagzone Lifestyle Pvt Ltd
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)","Convenient for clean-up and garbage disposal. Multifunctional use; ideal for office, hotels, household use, parties, baby diapers, and clearing pet's litter. Detachable tie-tape to tie up bag after use. Oxo-Biodegradable Garbage Bags for your home and kitchen. Dimensions - 48 cms x 53 cms; Size: Medium. Package Contents - 6 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: Black. ","Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)", B0821PN8L4, Narendar Plastics Pvt.Ltd
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.. Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH). Number of compartments: 1; Compatible Laptop Size : 15.4. Warranty Type: Manufacturer; 1 Year from the date of purchase. Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper. ","Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.", B019HA8AYG, Gear Merchandise PVT LTD
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,"MULTI-FUNCTION COMPARTMENT: HALF MOON laptop bag for men features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.. DURABLE MATERIAL: The Laptop bag for men / backpack for men has superior quality durable eco-friendly waterproof and anti-scratch polyester and this office bag for men / Laptop backpacks for men features a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.. COMFORTABLE DESIGN IN LAPTOP BAG FOR MEN: Our backpack for men’s ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the college bags for men comfortable to wear even when loaded with all your gear; Compact: The backpack for men / college bags for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.. SIZE OF LAPTOP BAG FOR MEN:18*13*10 inch(L*W*H), Capacity: The office bag for men has capacity of 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and office bag for women.. OTHER FEATURES OF OFFICE BAG FOR MEN: The office bag for men and office bag for women has laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.. ","A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.", B0BLVQ9NTD, Half_Moon (AB Amazing Bags)
